Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
X13,PoW/PoS,23042604.0,50000000,-0.28069641905742526,1.758360019444051,-0.631512148530967,Paycon,1
Blake2b,PoW,33098296530.0,0,0.35851453739252637,-2.061924211903018,0.3462752573261694,Siacoin,0
SHA-256,PoW/PoS,43059794.804778,1000000000,-0.3045091496065139,0.8274364278376481,-0.35760718192329627,Emercoin,1
X15,PoW/PoS,13530556.4180753,26298000,-0.2408604331341512,1.815662042291613,-0.637169663053116,EverGreenCoin,1
X11,PoW,15867695.0,16000000,-0.24315883145949235,-0.8351658319772437,0.02698927766463824,MindCoin,0
SHA-256,PoW,20997476.8650231,21000000,-0.14460315607940566,-1.240132536036782,0.21078565505026245,I0coin,0
BLAKE256,PoW/PoS,10365046.9281661,21000000,-0.07895127107152501,0.8683453956334259,-0.49808701343226364,Decred,1
Scrypt,PoW,210000000.0,210000000,-0.16419597044382694,-1.1451053995301117,0.02295415967585824,Revolution VR,0
1GB AES Pattern Search,PoW,11448949.0,81962100,-0.17640947180380911,-2.083307048646002,0.4018837661593128,HOdlcoin,0
SHA-256,PoW/PoS,3669691.84494672,22000000,-0.3119242772967984,0.8279008229927007,-0.3575552265886654,EDRCoin,1
X11,PoW/PoS,10996318099.0,26550000000,-0.08788816427341647,1.2230339446903926,-0.5463130033067015,Hitcoin,1
Scrypt,PoW,69836100.0,84000000,-0.1668032588200463,-1.1450831935481995,0.023009177517871994,Gamecredits,0
SHA-256,PoW/PoS,5129014.0,10500000,-0.3119879598242802,0.8279068191126405,-0.3575553033799329,DubaiCoin,1
SHA-256,PoW,21739971929.0,21626280000 ,0.27416041047372464,-1.244584962836009,0.20217984227140012,CarpeDiemCoin,0
NIST5,PoW/PoS,10069449031.9252,0,-0.22448140802854316,1.4633845828290237,-0.5676329174349108,PWR Coin,1
Scrypt,PoW/PoS,8998743.2411911,42000000,-0.3349612902802584,0.922958948042386,-0.5453144750266365,BillaryCoin,1
Scrypt,PoS,40477042.0,221052632,-0.2814742581169954,0.7021654612906522,-0.24618761103807965,GPU Coin,1
X11,PoW,45110324.0,84000000,-0.24231915238054066,-0.8351907395449047,0.026976184244683604,Adzcoin,0
Dagger,PoW,5702048.0,30000000,-0.1325790571768767,-2.131358580690891,0.32853811472157896,SoilCoin,0
Scrypt,PoW,636462.55983338,168351300,-0.16705148049290885,-1.1451434662635631,0.02303066590105124,YoCoin,0
X11GOST,PoW,17263355.0,24000000,-0.14962469711028273,-2.0800101917315037,0.42884907077518775,SibCoin,0
X11,PoW/PoS,10407269.7881868,384000000,-0.4077330187392906,1.2326924485724418,-0.5413700581075365,EuropeCoin,1
